date,prob_bull,prob_bear,prob_sideways,w_AAPL,w_JPM,w_XOM,w_JNJ,w_WMT,gross_leverage,split_date,n_train_days,n_test_days
2026-07-02,2.624356769584503e-28,0.9999999997380655,2.6267332481676353e-10,0.25666144989699236,0.25666144989699236,0.25666144989699236,0.25666144989699236,0.25666144989699236,1.2833072494849618,2016-04-06,2573,2574
2026-07-06,9.736534387164942e-16,0.9999949839346595,5.016066019734249e-06,0.25265897594513764,0.2526589759451376,0.2526589759451377,0.25265897594513764,0.25265897594513737,1.263294879725688,2016-04-07,2574,2574
2026-07-07,8.255116113740596e-20,0.9999999257761402,7.422331970588096e-08,0.26042460397313516,0.26042460397313516,0.26042460397313516,0.26042460397313516,0.26042460397313516,1.3021230198656757,2016-04-07,2574,2575
2026-07-08,3.245998461970576e-18,0.9999972216194181,2.778380087309352e-06,0.2528829003843742,0.2528829003843742,0.2528829003843742,0.2528829003843742,0.2528829003843742,1.264414501921871,2016-04-08,2575,2575
2026-07-09,1.752468838427595e-18,0.9999979148509649,2.0851487170696686e-06,0.25465355201859935,0.25465355201859935,0.25465355201859935,0.25465355201859935,0.25465355201859935,1.2732677600929967,2016-04-08,2575,2576
2026-07-10,9.138596892276181e-12,0.993351223289937,0.006648776700117801,0.2526093158779572,0.2526093158777204,0.25260931587809904,0.25260931587762947,0.2526093158756989,1.263046579387105,2016-04-11,2576,2576
2026-07-13,2.5380748195969068e-11,0.9948481021926961,0.005151897782172663,0.2524867607885459,0.25248676078788845,0.2524867607889397,0.25248676078763616,0.252486760782277,1.2624338039352871,2016-04-11,2576,2577
2026-07-14,3.393835285643899e-11,0.9952143311177889,0.004785668848419322,0.24939260782275732,0.24939260782182557,0.24939260782290854,0.24939260782107936,0.24939260781436007,1.2469630391029307,2016-04-12,2577,2577
2026-07-15,1.4424849995720416e-10,0.9905275750711429,0.009472424784185304,0.2497042312218666,0.24970423121790153,0.2497042312225101,0.24970423121472585,0.2497042311861311,1.248521156063135,2016-04-12,2577,2578
2026-07-16,1.0547040306495056e-10,0.9898540421282964,0.010145957766752263,0.2498762265194585,0.2498762265165574,0.24987622651992927,0.24987622651423377,0.24987622649331173,1.2493811325634907,2016-04-13,2578,2578
2026-07-17,0.0029756944073771638,0.5449308765525237,0.4520934290402041,0.2472102127692961,0.24712929293752697,0.24722334304545399,0.24706449098937253,0.24648094430374154,1.235108284045391,2016-04-13,2578,2579
2026-07-20,2.1473488796145314e-06,0.4801053822889845,0.5198924703629841,0.24849120933508673,0.24849113792095132,0.24849120823687715,0.24849108849057608,0.24849066849963922,1.2424553124831306,2016-04-14,2579,2579
2026-07-21,0.003988630852256016,0.04590690128281449,0.9501044678657681,0.24665503714338732,0.24652350772926238,0.24665301475045928,0.2464324768591581,0.24565896745070478,1.2319230039329718,2016-04-14,2579,2580
2026-07-22,0.020973970275827303,0.004523223477068919,0.9745028062474178,0.24908273122399363,0.2482661325101607,0.2489791590778188,0.2478981902919887,0.24378089338118192,1.2380071064851437,2016-04-15,2580,2580
