date,return,equity
2026-07-06,-0.0030058532219656873,0.9969941467780343
2026-07-07,0.018946678367506246,1.015883874211324
2026-07-08,-0.005481674587250299,1.0103151293944626
2026-07-09,-0.006738798175117054,1.003506819644206
2026-07-10,0.0044078513751497775,1.0079301285591469
2026-07-13,0.013096140248536411,1.0211301228834828
2026-07-14,-0.0008423775657407898,1.0202699457762636
2026-07-15,0.002646871620842274,1.022970469341337
2026-07-16,0.012524022679747894,1.0357821747000802
2026-07-17,0.0028057370982395606,1.0386883071733313
2026-07-20,-0.013787374765103059,1.024367522218202
2026-07-21,0.008921382554727653,1.033506296760549
2026-07-22,0.007734868857659453,1.0415003324295573
2026-07-23,0.0032431626312034406,1.044878087388079
2026-07-24,0.018518757889948077,1.0642279317129308
2026-07-27,0.00912020448278502,1.073933908066444
2026-07-28,0.004105012863074677,1.0783424205731489
2026-07-29,-0.0030377585469770476,1.0750666766684849
2026-07-30,-0.0146596163058024,1.0593066116853709
2026-07-31,-0.01931402311937805,1.0388471392967695
2026-08-03,-0.007328091420354391,1.0312343724882291
2026-08-04,0.00859419820143645,1.040097005077527
2026-08-05,0.0029924603356563714,1.0432094541104564
2026-08-06,0.0030821430144161847,1.046424774842016
2026-08-07,0.00037800442076752893,1.046820328032907
2026-08-10,0.012513309508567924,1.0599195147974432
2026-08-11,-0.0017032807824544347,1.0581141742569402
2026-08-12,0.006795345650911508,1.065304425809145
2026-08-13,-0.00016267155693612626,1.0651311310795877
2026-08-14,8.150760983189611e-05,1.0652179473722396
